Product_Name,Brand,MRP,Sale_Price,Discount (%),Rating,Reviews_Count,Category,Stock_Status,Discount_Amount
Recode Perfect Grip Spray,Recode,584,525.6,10,4,4282,Makeup,In Stock,58.4
Swiss Beauty Hydra Eye Serum Patches For Dark Circles And Pu...,Swiss,314,282.6,10,4.1,18194,Makeup,In Stock,31.4
Kay Beauty Intense Black 24H Kajal Eyeliner Duo,Kay,999,999,0,3.8,473,Makeup,In Stock,0
Smashbox Halo Healthy Glow All-In-One Tinted Moisturizer Fou...,Smashbox,3690,3690,0,4.1,21330,Makeup,In Stock,0
"Maybelline New York Fit Me Concealer, Oil-free Liquid Concea...",Maybelline,509,432.65,15,4.5,760862,Makeup,In Stock,76.35
MARS Trend Setting Powder,MARS,255,244.8,4,4.1,11057,Makeup,In Stock,10.2
Nykaa Cosmetics Matte to Last Lip Liner,Nykaa,254,215.9,15,3.8,453,Makeup,In Stock,38.1
"Swiss Beauty 3 In 1 Eyeliner, Eyebrow Filler and Kajal , 24-...",Swiss,386,347.4,10,4.1,32046,Makeup,In Stock,38.6
Faces Canada Weightless Stay Matte Compact SPF-20 Vitamin E ...,Faces,169,126.75,25,4.5,125118,Makeup,In Stock,42.25
e.l.f. Cosmetics Power Grip Primer,e.l.f.,1300,1300,0,4,2710,Makeup,In Stock,0
MARS Glowzilla 6 Shade Face Highlighter Palette,MARS,309,290.46,6,4.1,14617,Makeup,In Stock,18.54
L'Oreal Paris Color Riche Satin Lipstick,L'Oreal,637,477.75,25,4,1667,Makeup,In Stock,159.25
Maybelline New York Colossal Bubble Waterproof Mascara Volum...,Maybelline,552,469.2,15,4,1216,Makeup,In Stock,82.8
"Insight Cosmetics 24 Hrs Non Transfer Matte Lipstick, Creamy...",Insight,301,291.97,3,4.5,464163,Makeup,In Stock,9.03
Smashbox The Original Photo Finish Smooth & Blur Primer with...,Smashbox,1850,1850,0,4.1,14458,Makeup,In Stock,0
Nykaa Superlight Lip Cloud Airy Mousse Matte Liquid Lipstick...,Nykaa,639,511.2,20,3.8,966,Makeup,In Stock,127.8
NARS Mini Radiant Creamy Concealer,NARS,1400,1400,0,3.8,358,Makeup,In Stock,0
